state,x,y
Andhra Pradesh,-135,-230
Arunachal Pradesh,262,127
Assam,250,75
Bihar,80,60
Chhattisgarh,-35,-50
Goa,-217,-223
Gujrat,-275,-15
Haryana,-175,160
Himachal Pradesh,-165,230
Jharkhand,58,3
Karnataka,-193,-224
Kerala,-159,-354
Madhya Pradesh,-123,-5
Maharastra,-186,-100
Manipur,276,34
Meghalaya,200,49
Mizoram,254,-8
Nagaland,290,65
Odisha,52,-82
Punjab,-182,200
Rajasthan,-232,95
Sikkim,143,107
Tamilnadu,-118,-333
Telangana,-100,-146
Tripura,213,4
Uttar Pradesh,-72,100
Uttarakhand,-100,185
West Bengal,100,-13
